key,en_value
"learningJourneyDhikrWhatIsTakeaway3","The heart becomes calmer when Allah is remembered often."
"learningJourneyDurationMinutes","{minutes} min"
"learningJourneyFaithBooksBullet1","Revelation is a mercy from Allah."
"learningJourneyFaithJudgmentBullet2","Allah’s judgment is perfect and just."
"learningJourneyFaithProphetsSection1Title","Why Allah sent prophets"
"learningJourneyFaithQadrBullet1","Allah’s decree is wise even when you do not understand it."
"learningJourneyIslandCoreKnowledgeSubtitle","Qur’an, Prophets, Seerah, and Hadith."
"learningJourneyIslandCoreKnowledgeTitle","Core Knowledge"
"learningJourneyIslandDiscoveryDescription","Explore lighter entry points that still lead into real understanding and reflection."
"learningJourneyIslandDiscoverySubtitle","Trivia, daily wisdom, stories, and reflective exploration."
"learningJourneyIslandDiscoveryTitle","Discovery"
"learningJourneyIslandOpenAction","Open island"
"learningJourneyIslandPracticeWorshipDescription","Learn the acts of ibadah that shape daily rhythm, remembrance, and presence."
"learningJourneyIslandPracticeWorshipSubtitle","Salah, Dhikr, and Duas for daily life."
"learningJourneyIslandPracticeWorshipTitle","Practice & Ibadah"
"learningJourneyIslandUnderstandingIslamDescription","Understand the essentials of belief, practice, and historical development with clarity."
"learningJourneyIslandUnderstandingIslamSubtitle","Faith, fiqh, and the larger historical frame."
"learningJourneyIslandUnderstandingIslamTitle","Understanding Islam"
"learningJourneyIslandWhyCoreKnowledge","Core sources and sacred history give the rest of the learning path its center and coherence."
"learningJourneyIslandWhyDiscovery","Discovery keeps the system welcoming and reflective while still guiding users toward deeper journeys."
"learningJourneyIslandWhyPracticeWorship","Practice-based learning is where knowledge starts shaping the rhythm of real daily ibadah."
"learningJourneyIslandWhyUnderstandingIslam","This island gives users a steadier frame for belief, law, and the bigger picture behind practice."
"learningJourneyLessonActionStudyInQuran","Study this in the Qur’an"
"learningJourneyLessonActionStudyInQuranSubtitle","Start with {referenceLabel} and keep this lesson’s study context with you in the reader."
"learningJourneyLessonSectionActionStep","Small action step"
"learningJourneyLessonSectionContinueWith","Continue with"
"learningJourneyLessonSectionRelatedJourneys","Related journeys"
"learningJourneyLessonSectionReviewSuggestion","Review suggestion"
"learningJourneyReciteCompletionBullet2","Keep connecting Arabic to actual usage."
"learningJourneyReciteCompletionSection2Body","Use one phrase in salah with more presence, then keep building through Qur’an journeys, dhikr routines, and Arabic learning."
"learningJourneySeerahEarlyLifeBullet3","Allah prepares people long before a visible mission begins."
"learningJourneySeerahEarlyLifeIntro","The early life of the Prophet Muhammad ﷺ teaches trust in Allah, quiet preparation, and noble character before public prophethood."
"learningJourneySeerahEarlyLifeSection1Body","He ﷺ was born in Makkah, lost his father before birth, lost his mother in childhood, and was then cared for by his grandfather and uncle. These early losses did not diminish him. Allah cared for him and prepared him."
"learningJourneySeerahEarlyLifeTakeaway1","The Prophet ﷺ grew under Allah’s care through hardship and dignity."
"learningJourneySeerahFinalSermonSection2Body","The Farewell Sermon gives a closing frame for the Seerah: worship Allah, honor people, protect trust, and remain faithful to revelation."
"learningJourneySeerahFirstRevelationBullet1","Revelation began with knowledge connected to Allah."
"learningJourneySeerahFirstRevelationIntro","The first revelation opened the mission of prophethood with a call to read in the name of Allah."
"learningJourneySeerahFirstRevelationReflection","How would your approach to learning change if you began it consciously in the name of Allah?"
"learningJourneySeerahFirstRevelationTakeaway1","Knowledge in Islam begins in the name of Allah."
"learningJourneySeerahHijrahBullet1","Trust in Allah includes responsible action."
"learningJourneySeerahHijrahBullet2","Leaving something for Allah can become a mercy."
"learningJourneySeerahHijrahReflection","What important decision in your life needs both better planning and deeper trust in Allah?"
"learningJourneySeerahHijrahSection1Body","The migration to Madinah required planning, secrecy, courage, sacrifice, and complete reliance on Allah. It was not escape for comfort, but movement for faith."
"learningJourneySeerahHijrahSection2Body","Hijrah teaches that tawakkul is not passive. The Prophet ﷺ trusted Allah completely while still taking wise practical means."
"learningJourneySeerahMakkahSection1Body","In Makkah the Prophet ﷺ called people to worship Allah alone while facing mockery, pressure, and persecution. The early believers were formed in a difficult environment."
"learningJourneySeerahMakkahSection2Body","The Makkan Qur’an built belief first: who Allah is, what the Hereafter means, why worship matters, and how patience steadies the heart."
"learningJourneyStageReciteCompletionSummary","Finish by connecting familiar phrases to prayer, dhikr, and your next Arabic or Qur’an step."
"learningJourneyStageReciteFatihahInvocation1Meaning","All praise belongs to Allah, Lord of all worlds."
"learningJourneyStageReciteFatihahSection1Body","Al-Fatihah begins with praise of Allah, then reminds you that He is Lord, Master of the Day of Judgment, and the One alone you worship and ask for help. It ends as a dua for guidance to the straight path."
"learningJourneyStageReciteFatihahSection2Bullet1","Praise Allah before asking for anything."
"learningJourneyStageReciteMeaningInvocation1Context","Use when remembering Allah’s perfection and greatness."
"learningJourneyStageReciteMeaningInvocation1Meaning","Glory be to Allah."
"learningJourneyStageReciteMeaningInvocation2Meaning","All praise belongs to Allah."
"learningJourneyStageReciteMeaningSection1Body","SubhanAllah clears Allah of نقص and imperfection. Alhamdulillah fills the heart with praise and gratitude. Short dhikr works because it can stay with you in ordinary moments."
"learningJourneyStageReciteMeaningSection2Bullet1","Say SubhanAllah when you want to remember Allah’s perfection."
"learningJourneyStageReciteMeaningSection2Bullet2","Say Alhamdulillah when you notice a blessing."
"learningJourneyStageReciteShortSurahsInvocation1Meaning","Allah is greater than everything competing for your attention."
"learningJourneyStageReciteShortSurahsInvocation2Context","Said in ruku to glorify Allah with humility."
"learningJourneyStageReciteShortSurahsInvocation3Context","Said in sujud while you are physically lowest before Allah."
"learningJourneyStageReciteShortSurahsSection1Body","Takbir magnifies Allah. Tasbih in ruku and sujud glorifies Him. These short phrases are not filler between positions. They are part of the inner life of salah."
"learningJourneyTodayLightBadgeDhikr","Dhikr Focus"
"learningJourneyTodayLightBadgeHadith","Hadith Daily"
"learningJourneyTodayLightBadgeReflection","Daily Reflection"
"learningJourneyTodayLightBadgeVerse","Daily Verse"
"learningJourneyTodayLightOpenAction","Open"
"learningJourneyTodayLightProphetTitleFallback","Daily Prophet Reflection"
"learningJourneyToolNamesOfAllahTitle","Names of Allah"
"learningJourneyWisdomDailyQuoteBullet1","Choose one line instead of trying to remember everything."
"learningJourneyWisdomDailyQuoteBullet2","Return to it once later in the day."
"learningJourneyWisdomDailyQuoteBullet3","Let it point you toward a deeper journey when you are ready."
"learningJourneyWisdomDailyQuoteIntro","A daily wisdom item should be small enough to carry and deep enough to reopen later in the day."
"learningJourneyWisdomDailyQuoteReflection","What reminder do you need today more than extra information?"
"learningJourneyWisdomDailyQuoteSection1Body","Daily Wisdom brings short reminders from Qur’an, Hadith, prophetic example, and reflection into one calm entry point. The goal is not volume. The goal is one truthful reminder that stays with you."
"learningJourneyWisdomDailyQuoteSection1Title","What Daily Wisdom gathers"
"learningJourneyWisdomDailyQuoteSection2Body","Read slowly, keep one idea, and let it shape one decision or dua before the day moves on."
"learningJourneyWisdomDailyQuoteSection2Title","How to use one item well"
"learningJourneyWisdomDailyQuoteTakeaway1","One small reminder can be enough for a whole day."
"learningJourneyWisdomDailyQuoteTakeaway2","Daily wisdom works best when it stays simple and consistent."
"learningJourneyWisdomDailyQuoteTakeaway3","Short reminders should lead into deeper learning, not replace it."
"learningJourneyWisdomDailyQuoteTitle","Receive one wise reminder"
"learningJourneyWisdomPracticeActionStep","Before the day ends, return to this reminder once and ask whether it changed one choice, one word, or one dua."
"learningJourneyWisdomPracticeBullet1","Do not overload the day with too many goals."
"learningJourneyWisdomPracticeBullet2","Let repetition turn insight into habit."
"learningJourneyWisdomPracticeBullet3","Use related journeys when you want depth."
"learningJourneyWisdomPracticeIntro","The purpose of daily wisdom is not to collect quotes. It is to gently change speech, intention, habits, and attention."
"learningJourneyWisdomPracticeReflection","What is one small action you can do today so this reminder becomes lived knowledge?"
"learningJourneyWisdomPracticeSection1Title","One action is enough"
"learningJourneyWisdomPracticeSection2Body","A stable rhythm might be: open one wisdom item, keep one sentence, act on one step, and revisit one related journey later."
"learningJourneyWisdomPracticeSection2Title","Build a repeatable rhythm"
"learningJourneyWisdomPracticeTakeaway1","Wisdom becomes useful when it changes action."
"learningJourneyWisdomPracticeTakeaway2","A small repeated act is stronger than a large short-lived intention."
"learningJourneyWisdomPracticeTakeaway3","Daily Wisdom should send you back into the wider learning system."
"learningJourneyWisdomPracticeTitle","Carry wisdom into practice"
"learningJourneyWisdomShortLessonBullet1","Keep the explanation short enough to reread quickly."
"learningJourneyWisdomShortLessonBullet2","Tie the reminder to daily life."
"learningJourneyWisdomShortLessonBullet3","Offer one clear way to go deeper."
"learningJourneyWisdomShortLessonIntro","A brief lesson helps a daily reminder grow roots. It explains just enough to make the reminder usable."
