key,en_value
"learningJourneyShortSurahFalaqThemes","Its key theme is turning to Allah for protection from harm, darkness, envy, and evil that lies beyond human control."
"learningJourneyShortSurahIkhlasContext","This surah was revealed as a direct clarification of who Allah is: One, absolutely needed by all, and unlike creation."
"learningJourneyShortSurahIkhlasIntro","Surah Al-Ikhlas is short in length but immense in meaning because it teaches pure tawheed and Allah’s absolute uniqueness."
"learningJourneyShortSurahIkhlasReflection","How would your worship change if Allah’s uniqueness felt more present in your heart?"
"learningJourneyShortSurahIkhlasTakeaway1","This surah centers pure belief in Allah’s oneness."
"learningJourneyShortSurahIkhlasTakeaway2","It clears away wrong ideas about Allah."
"learningJourneyShortSurahIkhlasThemes","Its key theme is pure monotheism. It teaches that Allah is unique, self-sufficient, and beyond human comparison, lineage, or dependence."
"learningJourneyShortSurahKafirunContext","It was revealed in a context where compromise in worship was proposed, and the surah answered with clear loyalty to Allah alone."
"learningJourneyShortSurahKafirunTakeaway2","Ibadah belongs to Allah alone."
"learningJourneyShortSurahKawtharContext","It came as consolation and honor for the Prophet ﷺ, teaching that Allah’s gifts are greater than the insults of people."
"learningJourneyShortSurahKawtharIntro","Surah Al-Kawthar is a short surah of abundance, gratitude, and worship in response to Allah’s gifts."
"learningJourneyShortSurahKawtharReflection","How do you usually respond when Allah gives you a blessing: gratitude, distraction, or delay?"
"learningJourneyShortSurahKawtharTakeaway1","Allah’s gifts are greater than people’s insults."
"learningJourneyShortSurahKawtharThemes","Its key theme is abundance from Allah and the right response to that abundance: prayer, gratitude, and sacrifice."
"learningJourneyShortSurahNasIntro","Surah An-Nas teaches refuge in Allah from the whispers that enter the heart and try to disturb faith, peace, and clarity."
"learningJourneyShortSurahNasReflection","What kind of whispering pulls your attention away from Allah most often?"
"learningJourneyShortSurahNasTakeaway2","Allah alone can protect you from hidden whispering."
"learningJourneyStageFatihahReadSummary","Begin with the opening praise of Allah and what it means to call Him the Lord of all worlds."
"learningJourneyStageFatihahReflectionSummary","Reflect on what it means to ask Allah for guidance every day inside salah."
"learningJourneyStageIslamWhatIsIslamSummary","Begin with the meaning of Islam as surrender to Allah, worship, and a complete way of life."
"learningJourneyStageIslamWhoIsAllahSummary","Learn the first clear foundations of knowing Allah as Creator, Lord, and the One worthy of worship."
"learningJourneyStageIslamWhoIsAllahTitle","Who is Allah?"
"learningJourneyStageSalahWhySummary","Begin with the meaning of salah as a daily meeting with Allah and the anchor of worship."
"learningJourneyStageShortSurahFalaqSummary","Study this surah of seeking refuge and notice how it teaches protection through Allah."
"learningJourneyStoriesAnimalsIntro","Animals are signs of Allah''s mercy, design, and care. They are part of the world we benefit from and reflect upon."
"learningJourneyStoriesAnimalsReflection","What creature around you most easily reminds you of Allah''s care?"
"learningJourneyStoriesAnimalsTakeaway2","Creation reflects Allah''s mercy and care."
"learningJourneyStoriesCompletionActionStep","Choose one daily moment outdoors or in quiet to pause, reflect, and remember Allah."
"learningJourneyStoriesCompletionReflection","Which sign of Allah around you do you want to notice more consciously from now on?"
"learningJourneyStoriesCompletionSection1Body","Reflection on creation is not a side activity. It can soften the heart, renew gratitude, and make Qur''anic verses feel more alive because the signs of Allah become easier to notice."
"learningJourneyStoriesCompletionSection2Body","If these signs moved you, continue with Qur''an study, prophetic stories, or a reflection-based daily practice. The goal is not only to observe. It is to return to Allah more often."
"learningJourneyStoriesCompletionTakeaway1","Creation can lead the heart back to Allah."
"learningJourneyStoriesDayNightSection1Body","Day and night alternate with perfect order. This rhythm makes life possible and reminds us that time itself is a gift entrusted to us by Allah."
"learningJourneyStoriesDayNightSection2Body","When you reflect on time, you begin to treat your day more carefully. Morning, evening, work, worship, and rest all become spaces to remember Allah intentionally."
"learningJourneyStoriesHumanCreationIntro","Reflecting on human creation helps us remember both our dignity and our dependence on Allah."
"learningJourneyStoriesHumanCreationSection1Body","Human beings were created with purpose, honored by Allah, and given responsibility. At the same time, our beginning is humble and our need for Allah never disappears."
"learningJourneyStoriesMountainsSection1Body","Mountains anchor landscapes and tower over what is around them. Their presence reminds people that Allah created the earth with wisdom and balance."
"learningJourneyStoriesOceanReflection","Where in life do you most need to remember your dependence on Allah?"
"learningJourneyStoriesOceanSection1Body","The sea carries people, feeds communities, and reveals human weakness before Allah''s power. Its depth and movement remind us that creation is both useful and humbling."
"learningJourneyStoriesOceanSection2Body","Reflecting on the sea can teach dependence on Allah. Even powerful people become small before storms, distance, and forces they do not control."
"learningJourneyStoriesOceanTakeaway3","Dependence on Allah becomes clearer through reflection."
"learningJourneyStoriesSignsWhyThisMatters","Allah repeatedly calls us to reflect on creation so our hearts soften, our minds awaken, and our gratitude grows."
"learningJourneyStoriesSkySection1Body","The heavens show proportion, beauty, and order beyond human power. Looking up can become a form of reflection that leads the heart toward awe of Allah''s creation."
"learningJourneyStoriesSkySection2Body","This is not only information about space. It is a reminder that your life sits inside a vast creation ruled perfectly by Allah. That can reduce pride and increase gratitude."
"learningJourneyStoriesSkyTakeaway2","Order in creation points to Allah''s wisdom."
"learningJourneyTimelineEarlyProphetsSection1Body","From Adam to Nuh, Ibrahim, Musa, and Isa, the prophets called people back to Allah again and again. Their stories differ, but the call to worship Allah alone stays consistent."
"learningJourneyToolNamesOfAllahSubtitle","Learn names that deepen awe, hope, and trust."
"learningJourneyWuduWhyLessonIntro","Wudu prepares the believer to stand before Allah with cleanliness, readiness, and respect."
"learningPathPhaseBeginnerFoundationsDescription","Start with Islam, Allah, and the pillars."
"learnGamesIslandKidsRedirectSubtitle","Child-friendly game discovery stays under Kids Learning → Games, Arabic Learning, and Fun Learning."
"learnHubCategoryGroupWorship","Ibadah"
"learnHubSortAlphabetical","A-Z"
"learnNotesCategoryDua","Dua"
"learnNotesCategoryHadith","Hadith"
"learnSalahHubAcknowledgeAction","I acknowledge"
"learnSalahHubContinuePrayerPracticeTitle","Continue prayer practice"
"learnSalahHubFixedSurahFieldLabel","Fixed surah"
"learnSalahHubGuidanceNoticeDua","O Allah, make the Qur''an easy for us to learn and remember."
"learnSalahHubGuidanceNoticeVerse","And We have certainly made the Qur''an easy for remembrance, so is there any who will remember?"
"learnSalahHubGuidedModeFixed","Fixed Surah"
"learnSalahHubGuidedModePracticeSpecific","Practice Specific"
"learnSalahHubGuidedModeRandom","Random Surahs"
"learnSalahHubGuidedSurahSelectionTitle","Surah selection during guided prayer"
"learnSalahHubMarkReviewedAction","Mark reviewed"
"learnSalahHubMetricMemorized","Memorized"
"learnSalahHubMetricRecitations","Recitations"
"learnSalahHubMetricUnlockedSurahs","Unlocked Surahs"
"learnSalahHubPracticeSurahFieldLabel","Practice this surah"
"learnSalahHubSearchRecitationsHint","Search duas and recitations"
"learnSalahHubSearchSurahsHint","Search surahs for prayer"
"learnSalahHubStatusLearning","Learning"
"learnSalahHubStatusMemorized","Memorized"
"learnSalahHubStatusNotStarted","Not started"
"learnSalahHubStatusPracticed","Practiced"
"learnSalahHubSurahCardSubtitle","{ayahCount} ayahs • {status}"
"learnSalahHubSurahLockedSubtitle","Locked until more surahs are practiced"
"learnSalahHubTabAyah","Learn Ayah"
"learnSalahHubTabEssentials","Essentials"
"learnSalahHubTabGuided","Pray With Guidance"
"learnSalahHubTabLearn","Learn Salah"
"learnSalahHubTabRecitations","Duas & Recitations"
"learnSalahHubTitle","Salah Trainer"
"learnSalahHubWuduGuideSubtitle","Review purification, sequence, and reminders before prayer."
