key,en_value
"learningJourneyCharacterKindnessTakeaway2","Mercy belongs in speech, service, and correction."
"learningJourneyCharacterKindnessTakeaway3","Gentleness often opens hearts that force cannot reach."
"learningJourneyCharacterKindnessTitle","Kindness"
"learningJourneyCharacterSabrActionStep","The next time you feel pressure, pause, breathe, and delay your response for a few seconds."
"learningJourneyCharacterSabrBullet1","Pause before reacting when frustrated."
"learningJourneyCharacterSabrBullet2","Keep one obligation steady even on difficult days."
"learningJourneyCharacterSabrSection1Body","Patience is needed in hardship, in delay, in resisting sin, and in staying consistent with worship when the heart feels low."
"learningJourneyCharacterSabrSection1Title","Where patience is needed"
"learningJourneyCharacterSabrSection2Title","A practical form of sabr"
"learningJourneyCharacterSabrStageSummary","Learn how sabr steadies faith through hardship, delay, and discipline."
"learningJourneyCharacterSabrStageTitle","Patience"
"learningJourneyCharacterSabrTakeaway1","Patience is active strength, not passivity."
"learningJourneyCharacterSabrTakeaway2","Sabr is needed in both hardship and obedience."
"learningJourneyCharacterSabrTakeaway3","Short pauses can protect you from long regret."
"learningJourneyCharacterSabrTitle","Patience (Sabr)"
"learningJourneyCharacterShukrBullet1","Name one blessing clearly instead of vaguely."
"learningJourneyCharacterShukrBullet3","Do not let comfort make you forget the Giver."
"learningJourneyCharacterShukrReflection","Which blessing have you become too used to noticing with gratitude?"
"learningJourneyCharacterShukrSection1Title","Gratitude is more than words"
"learningJourneyCharacterShukrSection2Body","Gratitude grows when you notice specific blessings, name them, and turn them into worship and service instead of entitlement."
"learningJourneyCharacterShukrSection2Title","How gratitude grows"
"learningJourneyCharacterShukrStageSummary","See gratitude as worship of the heart, tongue, and daily choices."
"learningJourneyCharacterShukrStageTitle","Gratitude"
"learningJourneyCharacterShukrTakeaway1","Gratitude is a response of heart, tongue, and action."
"learningJourneyCharacterShukrTakeaway2","Blessings become safer when they increase thankfulness."
"learningJourneyCharacterShukrTakeaway3","Gratitude protects the heart from constant dissatisfaction."
"learningJourneyCharacterShukrTitle","Gratitude (Shukr)"
"learningJourneyDetailAboutTitle","About this journey"
"learningJourneyDetailActionReviewJourney","Review Journey"
"learningJourneyDetailCompletionSubtitle","You have reached the end of this journey. Revisit the final stage, review what stayed with you, and choose one next step to carry into daily life."
"learningJourneyDetailCompletionTitle","Journey complete"
"learningJourneyDetailLearnTitle","What you will learn"
