key,english_source,same_as_english_locale_count,missing_locale_count
learningJourneyReciteCompletionTakeaway1,Meaning makes repeated phrases feel alive.,11,0
learningJourneyReciteCompletionTakeaway2,Salah and dhikr become more connected when phrases are understood.,11,0
learningJourneyReciteCompletionTakeaway3,"This journey is a bridge, not an endpoint.",11,0
learningJourneyReciteFatihahActionStep,"In your next prayer, pause for one second before Al-Fatihah and remember that you are beginning with praise.",11,0
learningJourneyReciteMeaningActionStep,"In your next prayer or dhikr, hold one phrase in your mind and let its meaning stay present while you say it.",11,0
learningJourneyReciteShortSurahsActionStep,Choose one short surah you recite often and connect one clear theme to it before your next salah.,11,0
learningJourneySalahCompletionActionStep,Choose one specific prayer improvement for this week and keep it small enough to stay consistent.,11,0
learningJourneySalahCompletionBullet1,Choose one prayer habit to protect first.,11,0
learningJourneySalahCompletionBullet2,Use Wudu and meaning journeys as reinforcement.,11,0
learningJourneySalahCompletionBullet3,Return quickly after weak days instead of delaying.,11,0
learningJourneySalahCompletionLessonIntro,"You have moved through the meaning, preparation, movements, and consistency of salah. Now choose how to keep prayer alive beyond this journey.",11,0
learningJourneySalahCompletionReflection,Which one part of salah most deserves focused care from you this week?,11,0
learningJourneySalahCompletionSection1Body,"You now have a calmer frame for why salah matters, how to prepare for it, and how meaning and focus can grow together in prayer.",11,0
learningJourneySalahCompletionSection1Title,What this journey gave you,11,0
learningJourneySalahCompletionSection2Body,"Protect one concrete next step: steadier timing, better preparation, more presence in Al-Fatihah, or a stronger return after weak days.",11,0
learningJourneySalahCompletionSection2Title,What to do next,11,0
learningJourneySalahCompletionTakeaway1,Salah grows through steady return.,11,0
learningJourneySalahCompletionTakeaway2,"Meaning, preparation, and focus belong together.",11,0
learningJourneySalahCompletionTakeaway3,One protected habit can change the whole prayer day.,11,0
learningJourneySalahConsistencyActionStep,"Choose one prayer today to guard with extra care, from preparation to final salam.",11,0
learningJourneySalahConsistencyBullet1,Return quickly after a weak day.,11,0
learningJourneySalahConsistencyBullet2,Keep one prayer especially guarded if all five feel shaky.,11,0
learningJourneySalahConsistencyBullet3,Reduce one distraction before each prayer.,11,0
learningJourneySalahConsistencyLessonIntro,"Consistency in salah is built through return, not through waiting to feel perfect. Khushu also grows gradually through repetition, understanding, and honest effort.",11,0
learningJourneySalahConsistencyReflection,What one change would help you protect salah more consistently this week?,11,0
learningJourneySalahConsistencySection1Body,"A protected prayer habit often begins with one or two strong anchors, then expands. Even after weak days, the answer is return, not self-abandonment.",11,0
learningJourneySalahConsistencySection1Title,Protect the habit,11,0
learningJourneySalahConsistencySection2Body,"Khushu is helped by preparation, understanding, and lowering distraction before prayer. It is not all-or-nothing.",11,0
learningJourneySalahConsistencySection2Title,Build calm focus over time,11,0
learningJourneySalahConsistencyTakeaway1,Consistency grows through quick return.,11,0
learningJourneySalahConsistencyTakeaway2,"Khushu is built, not instantly achieved.",11,0
learningJourneySalahConsistencyTakeaway3,A small protected routine is stronger than grand temporary effort.,11,0
learningJourneySalahFoundationsDescription,"Learn why salah matters, how to prepare for it, and how its words and movements work together.",11,0
learningJourneySalahFoundationsOutcome1,Understand why salah is central to a Muslim day,11,0
learningJourneySalahFoundationsOutcome2,"Prepare for prayer with wudu, intention, and calm",11,0
learningJourneySalahFoundationsOutcome3,"Connect movements, words, meaning, and consistency",11,0
learningJourneySalahFoundationsSubtitle,Build confidence in the structure and flow of prayer.,11,0
learningJourneySalahFoundationsTitle,Salah Foundations,11,0
learningJourneySalahFoundationsWhyThisMatters,"Salah is a daily pillar, so even a small increase in clarity changes lived practice quickly.",11,0
learningJourneySalahMovementsBullet1,Slow down enough to recognize each posture.,11,0
learningJourneySalahMovementsBullet2,Link movement to meaning.,11,0
learningJourneySalahMovementsBullet3,Use guided practice when the order still feels unstable.,11,0
learningJourneySalahMovementsReflection,Which posture in salah feels least familiar or least meaningful to you right now?,11,0
learningJourneySalahMovementsSection1Body,Salah becomes easier when you stop trying to rush through the whole unit at once. Learn the sequence one posture at a time and connect each movement to its purpose.,11,0
learningJourneySalahMovementsSection1Title,Follow the sequence calmly,11,0
learningJourneySalahMovementsSection2Body,"Standing teaches attention, bowing teaches humility, and sujud teaches nearness and surrender. The body helps train the heart.",11,0
learningJourneySalahMovementsSection2Title,What the postures teach,11,0
learningJourneySalahMovementsTakeaway1,The sequence becomes lighter with calm repetition.,11,0
learningJourneySalahMovementsTakeaway2,Each posture trains humility in a different way.,11,0
learningJourneySalahMovementsTakeaway3,Learning prayer is easier when you break it into parts.,11,0
learningJourneySalahPrepareBullet1,Renew wudu with attention.,11,0
learningJourneySalahPrepareBullet2,Pause briefly before takbir.,11,0
learningJourneySalahPrepareBullet3,Let prayer time shape your schedule instead of always reacting late.,11,0
learningJourneySalahPrepareLessonIntro,"Preparation shapes the quality of salah. Wudu, intention, timing, and a little calm make prayer more focused before the first takbir.",11,0
learningJourneySalahPrepareReflection,Which part of preparing for prayer would most improve your focus right now?,11,0
learningJourneySalahPrepareSection1Body,Wudu cleans and settles you. Clear intention reminds you who the prayer is for. Reaching prayer in time gives your heart more room to arrive before your tongue begins.,11,0
learningJourneySalahPrepareSection1Title,Prepare the body and heart,11,0
learningJourneySalahPrepareSection2Body,You do not need a perfect atmosphere every time. You need a few reliable habits that help you arrive with care.,11,0
learningJourneySalahPrepareSection2Title,Keep preparation simple and repeatable,11,0
learningJourneySalahPrepareTakeaway1,Good preparation makes prayer gentler.,11,0
learningJourneySalahPrepareTakeaway2,Wudu and intention are part of the path into salah.,11,0
learningJourneySalahPrepareTakeaway3,A small pause before prayer can change its whole feel.,11,0
learningJourneySalahWhyBullet2,It is a return even when you do not feel perfect.,11,0
learningJourneySalahWhyBullet3,Consistency matters more than emotional intensity.,11,0
learningJourneySalahWhyReflection,"What usually makes prayer feel heavy, and how would it change if you saw it as a return?",11,0
learningJourneySalahWhySection1Title,What salah gives the believer,11,0
learningJourneySalahWhySection2Title,A beginner way to think about prayer,11,0
learningJourneySalahWhyTakeaway1,"Salah is an anchor, not an interruption.",11,0
learningJourneySalahWhyTakeaway2,Salah gathers the heart around remembrance and obedience.,11,0
learningJourneySalahWhyTakeaway3,A sincere return is always better than delay through guilt.,11,0
learningJourneySalahWordsMeaningBullet1,Start with Al-Fatihah and takbir.,11,0
learningJourneySalahWordsMeaningBullet2,Notice what you say in ruku and sujud.,11,0
learningJourneySalahWordsMeaningBullet3,"Use repetition to deepen meaning, not flatten it.",11,0
learningJourneySalahWordsMeaningLessonIntro,The words of salah become more powerful when you know what you are saying and why those words were placed in prayer.,11,0
learningJourneySalahWordsMeaningReflection,Which phrase in salah do you most want to understand more deeply?,11,0
learningJourneySalahWordsMeaningSection1Body,"Understanding Al-Fatihah, takbir, tasbih, and simple remembrances gives the heart something to hold during prayer. Meaning does not replace concentration, but it helps awaken it.",11,0
learningJourneySalahWordsMeaningSection1Title,Meaning helps khushu,11,0
learningJourneySalahWordsMeaningSection2Body,You do not need to understand everything at once. Begin with the phrases you recite every day and let familiarity grow into attention.,11,0
learningJourneySalahWordsMeaningSection2Title,Start with the most repeated phrases,11,0
learningJourneySalahWordsMeaningTakeaway1,Meaning helps the heart stay present.,11,0
learningJourneySalahWordsMeaningTakeaway2,A few understood phrases can change the quality of prayer quickly.,11,0
learningJourneySalahWordsMeaningTakeaway3,Understanding grows best in small repeated steps.,11,0
learningJourneySeerahJourneyDescription,"A guided path through the seerah with milestones, lessons, and reflection.",11,0
learningJourneySeerahJourneySubtitle,"Learn the life, mercy, and mission of the Messenger ﷺ.",11,0
learningJourneySeerahJourneyTitle,Seerah Journey,11,0
learningJourneyShortSurahCompletionActionStep,Pick one short surah for your next few prayers and pause briefly before reciting it to remember its main theme.,11,0
learningJourneyShortSurahCompletionBullet1,Choose one surah to recite with more awareness.,11,0
learningJourneyShortSurahCompletionBullet2,Connect its theme to your day.,11,0
learningJourneyShortSurahCompletionBullet3,Use this path as a bridge into understanding what you recite.,11,0
learningJourneyShortSurahCompletionIntro,"These short surahs are brief enough to memorize yet deep enough to shape prayer, protection, gratitude, and belief.",11,0
learningJourneyShortSurahCompletionReflection,Which short surah do you want to carry with more awareness in prayer this week?,11,0
learningJourneyShortSurahCompletionSection1Body,"Together they teach tawheed, refuge, gratitude, and clarity in worship. They are not only short recitations. They are living reminders.",11,0
learningJourneyShortSurahCompletionSection1Title,What these surahs gave you,11,0
learningJourneyShortSurahCompletionSection2Body,Use one short surah in prayer with extra attention this week. Let meaning travel with recitation instead of staying separate from it.,11,0
learningJourneyShortSurahCompletionSection2Title,How to carry them forward,11,0
learningJourneyShortSurahCompletionTakeaway1,Short surahs are rich in practical guidance.,11,0
learningJourneyShortSurahCompletionTakeaway2,Meaning deepens recitation quickly.,11,0
learningJourneyShortSurahCompletionTakeaway3,Salah becomes richer when familiar surahs are understood.,11,0
