key,en_value
"quranAyahInsightsCautionLabel","Read with care"
"quranAyahInsightsDomainAkhirahAccountability","Akhirah & Accountability"
"quranAyahInsightsDomainCharacterAdab","Character & Adab"
"quranAyahInsightsDomainEmptySubtitle","This category is ready for future enrichment, but it does not have browseable entries yet."
"quranAyahInsightsDomainEmptyTitle","No ayah insights here yet"
"quranAyahInsightsDomainGuidanceDailyLife","Guidance & Reflection"
"quranAyahInsightsDomainProphetsLessons","Prophets & Lessons"
"quranAyahInsightsDomainSignsInCreation","Signs in Creation"
"quranAyahInsightsDomainTawhidBelief","Tawhid & Belief"
"quranAyahInsightsDomainWorshipRemembrance","Worship & Remembrance"
"quranAyahInsightsHubEntrySubtitle","Explore enriched ayah lessons by domain, from creation and worship to character, belief, and accountability."
"quranAyahInsightsHubEntryTitle","Browse Ayah Insights"
"quranAyahInsightsRelatedAyahsTitle","Related Ayahs"
"quranAyahInsightsRelatedTypeCharacterConnection","Character connection"
"quranAyahInsightsRelatedTypeContinuation","Continue this lesson"
"quranAyahInsightsRelatedTypeContrast","Helpful contrast"
"quranAyahInsightsRelatedTypeCreationConnection","Creation connection"
"quranAyahInsightsRelatedTypeProphetConnection","Prophet connection"
"quranAyahInsightsRelatedTypeSameTheme","Same theme"
"quranAyahInsightsRelatedTypeSupportingInsight","Supporting insight"
"quranAyahInsightsRelatedTypeWorshipConnection","Worship connection"
"quranAyahInsightsTypeAyahInsight","Ayah Insight"
"quranAyahInsightsTypeCharacterLesson","Character Lesson"
"quranAyahInsightsTypeHadithReference","Hadith Reference"
"quranAyahInsightsTypeInterpretationNote","Interpretation Note"
"quranAyahInsightsTypeProphetConnection","Prophet Lesson"
"quranAyahInsightsTypeReflectionPrompt","Reflection Prompt"
"quranAyahInsightsTypeRelatedAyah","Related Ayah"
