key,en_value
"quranSurahInsightLessonSteadfastWorshipNeedsHelp","Steadfast worship is not self-powered; it asks Allah for help and keeps returning to Him."
"quranSurahInsightLessonWisdomShowsInHumility","Wisdom appears in humility before Allah and in refusing arrogance toward people."
"quranTeachingListenOnlyArabicTransliteration","Arabic + Transliteration"
"quranAyahInsightPathTitleAkhirahAccountabilityStarter","Akhirah & Accountability Starter"
"quranFocusRecitationDisplaySettingsTitle","Focus display"
"quranFocusRecitationEmptyBody","Start Qur’an audio playback to enter this calm ayah-by-ayah recitation mode."
"quranFocusRecitationKeepScreenAwakeAction","Keep screen awake"
"quranFocusRecitationModeAction","Focus mode"
"quranFocusRecitationRepeatCurrentAyahAction","Repeat current ayah"
"quranFocusRecitationSleepTimerAction","Sleep timer"
"quranFocusRecitationSleepTimerActiveLabel","Sleep timer: {remaining}"
"quranFocusRecitationSleepTimerCancelAction","Cancel timer"
"quranFocusRecitationTitle","Focus Recitation"
"quranNamesOfAllahSubtitle","Learn each name in Arabic with transliteration and meaning."
"quranNamesOfAllahTitle","99 Names of الله"
"quranPlaybackFailureBufferingTimeout","Playback took too long to load. Please try again."
"quranPlaybackFailureNetworkUnavailable","Playback could not continue because the network is unavailable."
"quranPlaybackFailureReciterUnavailable","Unable to switch to this reciter right now."
"quranPlaybackFailureSessionRestore","Unable to resume the saved recitation right now."
"quranPlaybackFailureSourceCorrupt","The downloaded audio file could not be played."
"quranPlaybackFailureSourceMissing","This recitation source is unavailable right now."
"quranPlaybackFailureUnknown","Playback could not continue right now."
"quranPlaybackFallbackUsingDownloaded","Switched to downloaded audio"
"quranPlaybackFallbackUsingStream","Switched to streaming audio"
"quranPlaybackRetryAction","Retry playback"
"quranPlaybackSourceDownloaded","Downloaded audio"
"quranPlaybackSourceStreaming","Streaming audio"
"quranPlaybackSourceUnavailable","Audio unavailable"
"quranPlaybackStatusBuffering","Buffering audio..."
"quranPlaybackStatusResolving","Preparing audio..."
"quranReaderAdjacentSurahUnavailable","Unable to open that surah right now."
"quranReaderNextSurahAction","Next surah"
"quranReaderNextSurahButtonLabel","Next Surah ({surahNumber})"
"quranReaderNowPlayingLabel","Recitation {surahLabel} • Verse {reference}"
"quranReaderPreviousSurahAction","Previous surah"
"quranReaderRepeatLoopSummary","Loop {count}x"
"quranReaderRepeatRangeLoopSummary","Repeat ayahs {startAyah}–{endAyah} • {count}x"
"quranReaderRepeatRangeSummary","Repeat ayahs {startAyah}–{endAyah}"
"quranReciterSwitchFailed","Unable to switch reciters right now. Please try again."
"quranSavedSearches","Saved searches"
"quranSearchMoreResultsAction","For More Results"
"quranSearchRemoveSavedAction","Remove saved search"
"quranSearchResultCountLabel","{count, plural, =1{1 result} other{{count} results}}"
"quranSearchSaveAction","Save search"
"quranSearchSavedAction","Saved"
"quranSearchTypeAll","All"
"quranSearchTypeSurah","Surah"
"quranSearchTypeText","Text"
"quranSearchTypeTheme","Theme"
"quranSearchTypeTopic","Topic"
"quranShortSurahsAdultCardStartSubtitle","After phrase-level Qur’an recognition, this is the next calm step into complete short surah reading."
"quranShortSurahsBridgeKidsSubtitle","You have started recognizing Qur’an snippets. The next step is reading the full short surah {surahName}."
"quranShortSurahsKidsCardStartSubtitle","After tiny Qur’an snippets, this is a calm next step into reading a whole short surah."
"quranShortSurahsKnownSnippetsSubtitle","These are pieces you have already seen in the earlier Qur’an readiness bridge."
"quranShortSurahsOpenReaderAction","Open in Qur’an reader"
"quranSuggestedSearches","Suggested searches"
"quranSummaryActionsTitle","Reader actions"
"quranSummaryDetailMissingTitle","This surah summary is not available"
"quranSummaryDetailPageSubtitle","Surah {surahNumber} study companion"
"quranSummaryFilterAll","All"
"quranSummaryHeroEyebrow","Surah Overview"
"quranSummaryHeroSubtitle","A calm reference for themes, revelation setting, and quick orientation before you open the reader."
"quranSummaryIslandSubtitle","Explore all 114 surahs with short overviews, revelation type, and key themes."
"quranSummaryKeyThemesTitle","Key themes"
"quranSummaryMetadataTitle","Surah at a glance"
"quranSummaryNoReadingProgress","No saved reading progress for this surah yet. You can open it directly or begin from ayah 1."
"quranSummaryNoResultsSubtitle","Try another surah name, number, Arabic spelling, or revelation filter."
"quranSummaryNoResultsTitle","No surahs matched your search"
"quranSummaryOpenReaderAction","Open surah reader"
"quranSummaryOverviewTitle","Overview"
"quranSummaryPageSubtitle","Browse every surah with a concise overview, revelation context, and study-friendly details."
"quranSummaryResumeHint","Continue where you left off at ayah {ayahNumber}."
"quranSummaryResumeReadingAction","Resume reading"
"quranSummaryRevelationLabel","Revelation: {value}"
"quranSummaryRevelationMixed","Mixed"
"quranSummaryRevelationOrderLabel","Revelation order {order}"
"quranSummarySearchHint","Search by surah number, name, Arabic, or meaning..."
"quranSummaryStartReadingAction","Start from beginning"
"quranSummaryVerseCountLabel","{count} verses"
"quranSummaryVersesLabel","verses"
"quranSummaryViewDetailsAction","View details"
