key,en_value
"quranReferenceBlockLoadError","Unable to load verse content right now."
"quranReferenceBlockLoadingTranslation","Loading translation..."
"quranReferenceBlockSurahLabel","Surah"
"quranShowLearnMore","Learn More"
"quranShowLearnMoreSubtitle","Show related learning links and knowledge around the current ayah."
"quranSurahInsightDescriptionAlBaqarah","A surah of guidance, worship, covenant, and patient trust, teaching how belief becomes a lived community ethic."
"quranSurahInsightDescriptionAlFurqan","A surah of discernment that contrasts empty rejection with the quiet conduct of the servants of the Most Merciful."
"quranSurahInsightDescriptionAliImran","A surah that joins belief, reflection, restraint, and steadfastness, especially when the heart is tested."
"quranSurahInsightDescriptionLuqman","A surah that joins wisdom, gratitude, Tawhid, family counsel, and humble conduct in one moral frame."
"quranSurahInsightDescriptionTaHa","A surah that keeps revelation close to worship, remembrance, and humble seeking of knowledge."
"quranSurahInsightLessonBeliefAndCharacterTogether","Belief and character are taught together because Tawhid should shape counsel, family life, and conduct."
"quranSurahInsightLessonGuidanceVisibleInConduct","Guidance becomes visible in how a person walks, speaks, and answers harm with dignity."
"quranSurahInsightLessonMercyAndRestraintAreStrengths","Mercy, self-restraint, and gentleness are strengths that preserve a believing community under strain."
"quranSurahInsightLessonPrayerKeepsRevelationConnectedToLife","Prayer keeps revelation connected to daily life by turning remembrance into a repeated act of devotion."
"quranSurahInsightLessonRemembranceShapesAction","Remembrance is meant to shape what a person does, not merely what a person feels for a moment."
"quranSurahInsightLessonServantsOfMercifulKnownByConduct","The servants of the Most Merciful are recognized by steady conduct before they are recognized by claims."
"quranSurahInsightLessonSignsLeadToRemembrance","Signs in creation are meant to awaken remembrance, gratitude, and moral clarity."
"quranSurahInsightLessonSteadfastnessBuiltThroughBeliefAndCharacter","Steadfastness grows from sound belief together with disciplined character, not from emotion alone."
"quranSurahInsightLessonTaqwaAndReflectionBelongTogether","Taqwa deepens when the believer reflects on signs instead of passing over them distracted."
"quranSurahInsightThemeCharacterUnderPressure","Character under pressure"
"quranSurahInsightThemeDiscernmentAndReflection","Discernment and reflection"
"quranSurahInsightThemeGratitudeAndWisdom","Gratitude and wisdom"
"quranSurahInsightThemeGuidanceAndDevotion","Guidance and devotion"
"quranSurahInsightThemeHumbleServanthood","Humble servanthood"
"quranSurahInsightThemeHumilityAndGoodConduct","Humility and good conduct"
"quranSurahInsightThemePatienceAndReliance","Patience and reliance"
"quranSurahInsightThemeReflectingOnSigns","Reflecting on signs"
"quranSurahInsightThemeRevelationAndRemembrance","Revelation and remembrance"
"quranSurahInsightThemeSeekingKnowledge","Seeking knowledge"
"quranSurahInsightThemeSignsInTimeAndCreation","Signs in time and creation"
"quranSurahInsightThemeSteadfastBelief","Steadfast belief"
"quranSurahInsightThemeSupplicationAndResponse","Supplication and response"
"quranSurahInsightThemeTawhidInFamilyGuidance","Tawhid in family guidance"
"quranSurahInsightThemeWorshipWithPresence","Worship with presence"
"quranSurahInsightsBrowseAction","Browse surah insights"
"quranSurahInsightsBrowseSubtitle","Explore concise surah-level themes, lessons, and linked Ayah Insights clusters."
"quranSurahInsightsBrowseTitle","Surah Themes & Insights"
"quranSurahInsightsClusterCount","{count} clusters"
"quranSurahInsightsClustersTitle","Insight clusters"
"quranSurahInsightsEmpty","Surah insight pages will appear here as curated surah summaries expand."
"quranSurahInsightsEntryAction","Open surah insights"
"quranSurahInsightsEntrySubtitle","See the main themes, lessons, and strongest Ayah Insights clusters for this surah."
"quranSurahInsightsEntryTitle","Surah themes & insights"
"quranSurahInsightsLessonsTitle","Key lessons"
"quranSurahInsightsOverviewTitle","Overview"
"quranSurahInsightsSuggestedPathsTitle","Suggested paths"
"quranTeachingDailyReviewCorrectFeedback","Correct. This item is settling in."
"quranTeachingDailyReviewEmptyNoDue","No review is due right now. Try a new lesson or open extra practice later."
