key,en_value
"learnCharacterCompanionTraitsSubtitle","Return to the inner qualities that shape beautiful conduct before it appears in speech, service, and relationships."
"learnCharacterCompanionTraitsTitle","Core traits"
"learnCompanionContinueSubtitle","Resume the guided path where you left off or reopen the full companion journey."
"learnCompanionSourceLabelCharacter","Character"
"learnCompanionSourceLabelDivineLife","Divine Life"
"learnCompanionSourceLabelHadith","Hadith"
"learnCompanionSourceLabelHistory","History"
"learnCompanionSourceLabelJourney","Journey"
"learnCompanionSourceLabelProphets","Prophets"
"learnCompanionSourceLabelQuran","Qur’an"
"learnCompanionSourceLabelSeerah","Seerah"
"learnCompanionSourcesSubtitle","Each handoff opens the owned surface that carries this part of the topic further."
"learnCompanionSourcesTitle","Related sources"
"learnDailyDhikrNextStepsCharacterHint","Choose this if you want your remembrance to shape patience, adab, and everyday conduct."
"learnDailyDhikrNextStepsIntroBody","The dhikr counter can help you stay present and consistent, but the goal is not numbers alone. Start small, keep your heart engaged, and let remembrance become a quiet daily companion."
"learnDailyDhikrNextStepsIntroTitle","Use the tool to support the habit, not replace it"
"learnDailyDhikrNextStepsOpenToolAction","Open dhikr tool"
"learnDailyDhikrNextStepsSalahHint","Choose this if you want dhikr to stay closely connected to prayer and daily worship."
"learnDailyDhikrNextStepsSectionSubtitle","Choose one nearby path if you want your remembrance to strengthen prayer, character, or your wider daily rhythm."
"learnDailyDhikrNextStepsSectionTitle","What could come next"
"learnDailyDhikrNextStepsSubtitle","You have started with meaning and simplicity. Now you can practice gently and connect dhikr to the rest of your worship."
"learnDailyDhikrNextStepsTitle","Keep the Habit Going"
"learnDailyWisdomCarryTitle","Carry this today"
"learnDailyWisdomEntryForgivenessBody","Letting go is not always denying harm. Often it is refusing to let bitterness keep shaping your inner life after the moment has passed."
"learnDailyWisdomEntryForgivenessStep","Name one hurt you can stop rehearsing today, and replace one replay of it with a quiet dua for healing or justice."
"learnDailyWisdomEntryForgivenessTitle","Forgiveness keeps the heart light"
"learnDailyWisdomEntryGratitudeBody","Shukr grows when you notice Allah’s gifts in what already surrounds you, not only in what you are still seeking."
"learnDailyWisdomEntryGratitudeStep","At one transition today, name a blessing you usually pass over and thank Allah for it before asking for anything else."
"learnDailyWisdomEntryGratitudeTitle","Gratitude steadies the heart"
"learnDailyWisdomEntryHopeBody","A believer does not ignore mistakes, but does not close the door of mercy either. Hope keeps the heart moving back to Allah instead of sinking into despair."
"learnDailyWisdomEntryHopeOpeningBody","The Seerah reminds us that not every delay is abandonment. Some openings come after patience, restraint, and trust have already done their quiet work."
"learnDailyWisdomEntryHopeOpeningStep","When something feels delayed today, ask what faithful patience is still required from you before asking why the opening has not arrived yet."
"learnDailyWisdomEntryHopeOpeningTitle","Openings sometimes arrive after waiting"
"learnDailyWisdomEntryHopeStep","Bring one mistake to Allah today with istighfar and a real intention to return better."
"learnDailyWisdomEntryHopeTitle","Hope keeps repentance open"
"learnDailyWisdomEntryHumilityBody","A humble heart does not become smaller by accepting correction. It becomes freer from the need to protect image, status, or the last word."
"learnDailyWisdomEntryHumilityStep","Let one person finish today without interrupting, correcting, or pulling the moment back toward yourself."
"learnDailyWisdomEntryHumilityTitle","Humility leaves room for truth"
"learnDailyWisdomEntryIntentionBody","A small act done for Allah can become heavier than a visible act done for the self. Sincerity protects good work from becoming self-display."
"learnDailyWisdomEntryIntentionStep","Before one routine action today, pause and quietly renew your intention for Allah alone."
"learnDailyWisdomEntryIntentionTitle","Intention changes the weight of an action"
"learnDailyWisdomEntryMercyBody","The Prophet ﷺ showed that mercy is strongest when it appears in ordinary dealings, not only big moments."
"learnDailyWisdomEntryMercyRestraintBody","Not every strong response is needed. Sometimes mercy appears when you hold back a sharp word, ease a demand, or leave space for someone else''s weakness."
"learnDailyWisdomEntryMercyRestraintStep","In one tense moment today, lower the pressure instead of proving that you are right."
"learnDailyWisdomEntryMercyRestraintTitle","Mercy can look like restraint"
"learnDailyWisdomEntryMercyStep","Choose one person today who most needs gentle speech from you."
"learnDailyWisdomEntryMercyTitle","Mercy begins close to you"
