key,en_value
"learnNotesSavedTitle","Saved Notes"
"learnNotesSectionSubtitle","Browse study notes, Qur’an reflections, and personal journal entries in one place."
"learnNotesSectionTitle","Notes & Writing"
"learnNotesSourceJournal","Journal entry"
"learnNotesSourceQuran","Qur’an note"
"learnProgressCardSubtitle","Started {started}, completed {completed}, favorites {favorite}"
"learnProgressCardTitle","Learning progress"
"learnProgressSummary","Started: {started}  Completed: {completed}  Favorites: {favorite}"
"learnQuranBookmarksSubtitle","Return to your saved ayat quickly."
"learnQuranBookmarksTitle","Bookmarks"
"learnQuranContinueSubtitle","Resume your last reading session."
"learnQuranContinueTitle","Continue Reading"
"learnQuranDailyVerseSubtitle","One verse for today''s reflection."
"learnQuranDailyVerseTitle","Daily Verse"
"learnQuranExplorerSubtitle","Browse surahs by name and theme."
"learnQuranExplorerTitle","Surah Explorer"
"learnQuranHubKeyLessonsTitle","Key lessons"
"learnQuranHubMemorizeCoverageSummary","Coverage: {coverage}% • Due today: {dueCount}"
"learnQuranHubMemorizeSubtitle","Use repetition, phrase practice, hidden recall, and spaced review to strengthen memorization."
"learnQuranHubNeedsRepetitionAction","Needs repetition"
"learnQuranHubNextReviewSummary","{stage} • Next review {date}"
"learnQuranHubNotStarted","Not started"
"learnQuranHubPathProgress","{completed} of {total} verses mastered"
"learnQuranHubPathsSubtitle","Follow thematic pathways for focused Qur’an learning."
"learnQuranHubQuranToolsTitle","Qur’an tools"
"learnQuranHubReadFullContextAction","Read full context"
"learnQuranHubReciteVerseAction","Recite verse"
"learnQuranHubReflectionPromptsTitle","Reflection prompts"
"learnQuranHubReviewedWellAction","Reviewed well"
"learnQuranHubSpacedReviewTitle","Spaced repetition review"
"learnQuranHubStageAndNext","Stage: {stage} • Next: {date}"
"learnQuranHubStageHiddenRecall","Hidden recall"
"learnQuranHubStageMastered","Mastered"
"learnQuranHubStageNewVerse","New verse"
"learnQuranHubStagePhrasePractice","Phrase practice"
"learnQuranHubStageRepeating","Repeating"
"learnQuranHubTabMemorize","Memorize"
"learnQuranHubTabPaths","Paths"
"learnQuranHubTabReflect","Reflect"
"learnQuranHubTabUnderstand","Understand"
"learnQuranHubUnderstandSubtitle","Study explanation, related hadith, and concise lessons from selected verses."
"learnQuranProgressSubtitle","Track consistency and growth with balance."
"learnQuranProgressTitle","Reading Streak and Progress"
"learnQuranSectionSubtitle","Structured entry points for reading and review."
"learnResumeTopicSubtitle","Continue: {topicId}"
"learnResumeTopicSubtitleEmpty","Start with any topic and continue steadily."
"learnResumeTopicTitle","Resume topic"
"learnSubtitle","A focused knowledge path for reflection and deeper understanding."
"learnTabLife","Life"
"learnTabNotes","Notes"
"learnTabWorld","World"
"learnTitle","Learn"
"learnWorldAnimals","Animals"
"learnWorldBees","Bees"
"learnWorldMoon","Moon"
"learnWorldMountains","Mountains"
"learnWorldNightDay","Night and Day"
"learnWorldOceans","Oceans"
"learnWorldPlants","Plants"
"learnWorldRain","Rain"
"learnWorldSectionSubtitle","Creation-focused categories for reflection."
"learningJourneyAlphabetOpenLessonIntro","The Arabic alphabet becomes easier when you stop seeing it as one large wall and begin meeting the letters in small memorable groups."
"learningJourneyArabicAlphabetDescription","Learn the Arabic letters in calm groups, reinforce their sounds, and build a useful review habit before moving into reading."
"learningJourneyArabicAlphabetOutcome1","Recognize the Arabic letters in manageable groups"
"learningJourneyArabicAlphabetOutcome2","Improve pronunciation through repetition"
"learningJourneyArabicAlphabetOutcome3","Build a review habit that prepares you for reading basics"
"learningJourneyArabicAlphabetSubtitle","Start with letters, sounds, and recognition."
"learningJourneyArabicAlphabetTitle","Arabic Alphabet Journey"
