key,en_value
"quranReaderReturnToCurrentAyahAction","Return to current ayah"
"quranReaderSettingsExpandCollapse","Expand/Collapse"
"quranReaderSettingsToggleTitle","Settings"
"quranReaderTextOptionsTitle","Text Options"
"quranReaderTextSettingsTitle","Text Settings"
"quranReaderTranslationSourceLabel","Translation source"
"quranReaderTransliterationLoadError","Unable to load full transliteration right now. Check connection and try again."
"quranReaderTransliterationUnavailable","Transliteration not available for this ayah yet."
"quranReaderWordTranslationPrefix","Translation: {gloss}"
"quranReadinessAdultCardStartSubtitle","After some Arabic letters and beginner words, these short Qur’anic phrases make recognition feel real."
"quranReadinessAdultCardSubtitle","Continue with the familiar phrase {phrase}."
"quranReadinessAdultCardTitle","Qur’an readiness bridge"
"quranReadinessAdultContinueAction","Continue Qur’an readiness"
"quranReadinessAdultIntroSubtitle","Start with very short real Qur’anic phrases, then notice how they sit inside the full ayah."
"quranReadinessAdultIntroTitle","A calm bridge into Qur’anic recognition"
"quranReadinessAdultPageSubtitle","Use familiar Arabic phrases to recognize real Qur’anic verses calmly."
"quranReadinessAdultPageTitle","Qur’an readiness"
"quranReadinessAdultReviewAction","Review Qur’an phrases"
"quranReadinessAdultStartAction","Start Qur’an readiness"
"quranReadinessAudioUnavailable","Audio is not available right now."
"quranReadinessAyahContextAdultTitle","See the phrase inside the ayah"
"quranReadinessAyahContextKidsTitle","See it inside the ayah"
"quranReadinessCountValue","{opened} of {total} snippets opened"
"quranReadinessHintBounceDescription","Give {focus} a light bounce instead of cutting it off too sharply."
"quranReadinessHintBounceLabel","Light bounce"
"quranReadinessHintClearDescription","Read {focus} clearly and calmly before moving on."
"quranReadinessHintClearLabel","Clear sound"
"quranReadinessHintNasalDescription","Let {focus} carry a soft nasal sound here."
"quranReadinessHintNasalLabel","Soft nasal sound"
"quranReadinessHintStretchDescription","Stretch {focus} a little longer so the sound stays steady."
"quranReadinessHintStretchLabel","Stretch gently"
"quranReadinessKidsCardStartSubtitle","When a few Arabic sounds feel familiar, these tiny Qur’an phrases help children say, “I know this.”"
"quranReadinessKidsCardSubtitle","Try this real Qur’an phrase next: {phrase}"
"quranReadinessKidsCardTitle","First Qur’an reading"
"quranReadinessKidsContinueAction","Continue Qur’an readiness"
