key,en_value
"learnSeerahCompanionTurningPointsNextExplore","Use the Historical Calendar timeline first, then move through Hudaybiyyah, the Conquest of Makkah, and the Farewell Hajj to keep those moments connected to the Prophetic path itself."
"learnSeerahCompanionTurningPointsSubtitle","Follow the treaty, opening, and closing moments that redirected the Muslim community."
"learnSeerahCompanionTurningPointsTitle","Major turning points"
"learnSeerahCompanionTurningPointsWhyItMatters","The turning points of the Seerah help you see that treaties, openings, and closing public moments were not isolated events, but stages in how Allah opened the mission outward."
"learnSeerahCompanionWhyItMattersTitle","Why it matters"
"learnSelfLearningModulesSubtitle","Open any of the 9 learning modules and study at your own pace."
"learnSelfLearningModulesTitle","Learning Modules"
"learnStoriesPathBridgeBeginAction","Start with the Prophets"
"learnStoriesPathBridgeHintMeaning","We are not only collecting events. We are learning what trust, patience, and mercy look like."
"learnStoriesPathBridgeHintNarrative","Stories help knowledge feel connected, memorable, and easier to carry."
"learnStoriesPathBridgeIntroBody","This path begins with the stories Allah gave us for guidance. We will start with the Prophets, move into the Seerah, and finish by turning those stories into lessons for daily life."
"learnStoriesPathBridgeIntroTitle","A calm way to begin"
"learnStoriesPathBridgeSubtitle","Stories help the heart understand faith, patience, and trust before details feel heavy."
"learnStoriesPathBridgeTitle","Let’s learn through stories"
"learnStoriesPathNextStepsCharacterHint","Keep the story lessons alive by growing in patience, adab, and self-improvement."
"learnStoriesPathNextStepsHistoryAction","Explore Islamic history"
"learnStoriesPathNextStepsIntroBody","Sacred stories are not just timelines. They teach patience, courage, mercy, and trust in Allah. Keep that lesson alive by choosing the next lane that will help it become part of your life."
"learnStoriesPathNextStepsIntroTitle","Stories are meant to change us"
"learnStoriesPathNextStepsQuranHint","Continue with the Qur’an and see how revelation deepens the lessons carried by these stories."
"learnStoriesPathNextStepsSectionSubtitle","Follow the lesson into character, Qur’an reflection, or broader historical context."
"learnStoriesPathNextStepsSectionTitle","Choose what comes next"
"learnStoriesPathNextStepsSubtitle","Let the stories lead you into character, Qur’an reflection, or deeper history."
"learnStoriesPathNextStepsTitle","Carry the lessons forward"
"learningJourneyCharacterAngerSection2Body","Step back, lower your tone, seek refuge in Allah, change posture if needed, and avoid speaking while the heart is still inflamed."
"learningJourneyCharacterForgivenessBullet1","Ask Allah to heal your heart before forcing yourself into words."
"learningJourneyCharacterForgivenessReflection","Is there one hurt you need to place before Allah so it stops ruling your heart?"
"learningJourneyCharacterForgivenessSection2Body","When a person forgives for Allah, the heart becomes lighter. Forgiveness can protect you from becoming shaped by the very harm you suffered."
"learningJourneyCharacterForgivenessTakeaway1","Forgiveness is strongest when done for Allah."
"learningJourneyCharacterHumilityBullet3","Remember that every gift is from Allah."
"learningJourneyCharacterHumilityIntro","Humility means seeing your need for Allah clearly and treating people without arrogance."
"learningJourneyCharacterHumilityTakeaway3","Remembering Allah reduces self-importance."
"learningJourneyCharacterIkhlasActionStep","Choose one small act today that only Allah knows you intended for Him."
"learningJourneyCharacterIkhlasBullet3","If praise reaches you, thank Allah and keep your heart steady."
"learningJourneyCharacterIkhlasIntro","Ikhlas means doing what is right for Allah, not for showing off, praise, or control."
"learningJourneyCharacterIkhlasSection1Body","Sincerity purifies actions from the inside. Two people may do the same outward deed, but the one who seeks Allah alone carries a different weight with Him."
"learningJourneyCharacterIkhlasStageSummary","Begin with ikhlas so your actions are rooted in Allah alone."
"learningJourneyCharacterSabrBullet3","Ask Allah for help instead of collapsing into panic."
"learningJourneyCharacterSabrIntro","Sabr is not passive weakness. It is steady obedience, self-restraint, and trust in Allah through difficulty."
"learningJourneyCharacterSabrReflection","Where do you most need to slow down and trust Allah more?"
"learningJourneyCharacterSabrSection2Body","Sabr often looks ordinary: lowering your reaction, continuing a duty, waiting without complaint, and asking Allah for help before speaking or acting."
"learningJourneyCharacterShukrActionStep","Thank Allah specifically for one blessing today, then use it in one good way."
"learningJourneyCharacterShukrBullet2","Use a blessing in a way Allah loves."
"learningJourneyCharacterShukrIntro","Shukr means recognizing blessings from Allah and responding with praise, obedience, and better use of what He gave."
"learningJourneyCharacterShukrSection1Body","Saying Alhamdulillah matters, but gratitude also includes how you use time, health, wealth, knowledge, and relationships."
"learningJourneyIslandCoreKnowledgeAyahArabic","اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ"
"learningJourneyLessonSectionProgressSubtitle","Complete this section to save your progress."
"learningJourneyWisdomPracticeSection1Body","Choose one small action that matches the reminder: pause before speaking, thank Allah aloud, forgive quickly, review one verse, or return to dhikr."
"learnMetadataDomainNamesSubtitle","Names of Allah with meaning and reflection."
"learnSalahHubGuidanceNoticeVerseReference","Qur''an 54:17"
"learnSalahHubMetricSalahs","Salahs"
"learnSalahHubTabWudu","Wudu"
"learnTogetherFamilyPromptSigns","Take one quiet moment today to notice Allah’s creation together and mention one thing that fills you with gratitude."
"learnTogetherPromptDhikr1","How does this dhikr help the heart slow down and remember Allah?"
"learnTogetherPromptSigns1","What part of Allah’s creation stood out to you most here?"
"learningJourneyDailyDhikrSubtitle","Remember Allah through steady daily dhikr."
"learningJourneyFaithAngelsIntro","Angels are honored servants of Allah who obey Him completely and carry out the tasks He assigns."
"learningJourneyFaithAngelsSection1Body","Angels are part of the unseen world. They do not disobey Allah. Some bring revelation, some record deeds, and some have responsibilities known only to Allah."
"learningJourneyFaithAngelsSection2Body","Belief in angels reminds you that life is not only what you can see. It encourages sincerity, careful speech, and reverence for Allah''s perfect order."
"learningJourneyFaithAngelsTakeaway1","Angels belong to the unseen creation of Allah."
"learningJourneyFaithAngelsTakeaway2","They obey Allah without rebellion."
"learningJourneyFaithCompletionSection1Body","Faith is not a set of isolated topics. Belief in Allah, His angels, His books, His messengers, the Last Day, and qadr all work together to shape how you worship, hope, fear, and live."
"learningJourneyFaithNamesIntro","Allah has beautiful names that teach us who He is and how we should turn to Him."
"learningJourneyFaithNamesReflection","Which name of Allah do you want to learn more deeply this week, and why?"
"learningJourneyFaithNamesSection1Body","The names of Allah are not random labels. Each name teaches perfection, mercy, knowledge, power, wisdom, and care. They help the heart know Allah more deeply."
"learningJourneyFaithNamesSection2Body","When you learn a name such as Ar-Rahman or Al-Hakim, you begin to notice that Allah''s mercy and wisdom touch every part of life. This brings hope, patience, and awe."
"learningJourneyFaithNamesTakeaway1","Allah''s names help you know Him more truly."
"learningJourneyFaithNamesTakeaway3","Learning the names of Allah can deepen worship and dua."
"learningJourneyFaithNamesTitle","Names of Allah"
"learningJourneyFaithTawheedIntro","Tawheed means singling out Allah alone in worship, love, hope, fear, and reliance."
"learningJourneyFaithTawheedReflection","Where in your life do you most need to renew your reliance on Allah alone?"
"learningJourneyFaithTawheedSection1Body","A Muslim believes that Allah alone deserves prayer, trust, sacrifice, and ultimate obedience. Tawheed is not only a statement. It is a way of turning the heart fully to Allah."
"learningJourneyFaithTawheedSection2Body","In daily life, tawheed means asking Allah before creation, seeking His help first, and guarding your worship from showing off or depending on what cannot truly save you."
"learningJourneyFaithWhoIsAllahIntro","This lesson introduces the most important truth: Allah is the Creator, Sustainer, and only One worthy of worship."
"learningJourneyFaithWhoIsAllahReflection","When you call upon Allah today, what does it mean to remember who He is?"
"learningJourneyFaithWhoIsAllahSection1Body","Allah created everything, owns everything, and is perfect in every way. He is not like creation. He was not born, and He does not depend on anyone."
"learningJourneyFaithWhoIsAllahSection2Body","Knowing Allah changes how you live. It brings trust in difficulty, gratitude in blessings, and sincerity in worship because your heart turns to Him first."
"learningJourneyFaithWhoIsAllahTakeaway1","Allah is unique and unlike His creation."
"learningJourneyFaithWhoIsAllahTakeaway2","All worship belongs to Allah alone."
"learningJourneyFaithWhoIsAllahTakeaway3","Knowing Allah gives the heart direction and peace."
"learningJourneyFaithWhoIsAllahTitle","Who is Allah?"
"learningJourneyFatihahCompletionSection1Body","Al-Fatihah begins with praise, centers worship and dependence, and ends with guidance-seeking. It teaches a full relationship between the servant and Allah."
"learningJourneyFatihahReadBullet3","Opening with Allah changes the tone of prayer."
"learningJourneyFatihahReadIntro","Al-Fatihah opens with praise, gratitude, and recognition of Allah as Lord over every world and every creature."
"learningJourneyFatihahReadSection1Body","“In the name of Allah” begins with dependence. “All praise is for Allah” teaches gratitude. “Lord of the worlds” reminds you that Allah cares for all creation and governs it fully."
"learningJourneyFatihahReadTakeaway2","Allah’s Lordship gives the surah its foundation."
"learningJourneyFatihahRecitationBullet2","Ibadah and dependence belong to Allah alone."
"learningJourneyFatihahRecitationIntro","The middle of Al-Fatihah joins Allah’s mercy, the reality of judgment, and the believer’s promise to worship and seek help only from Him."
"learningJourneyFatihahRecitationSection1Body","Allah is the Most Merciful and the One who owns the Day of Judgment. Then the servant responds: You alone we worship, and You alone we ask for help."
"learningJourneyFatihahReflectionBullet2","The straight path requires help from Allah."
"learningJourneyFatihahReflectionSection2Body","Every time you recite these verses in salah, you are making a direct request to Allah for direction, clarity, and protection."
"learningJourneyFiqhBasicsWhyThisMatters","Practical knowledge helps worship stay steady and keeps daily life grounded in what Allah loves."
"learningJourneyFiqhCleanlinessSection1Body","Cleanliness in Islam is both physical and spiritual. Keeping the body, clothes, and prayer place clean supports worship and reflects respect for Allah''s commands."
