key,en_value
"quranMemorizationReviewTitle","Memorization Review"
"quranMemorizationReviewTodayTitle","Review today"
"quranMemorizationTitle","Memorization (Hifz)"
"quranNotesTitle","Holy Qur''an Notes"
"quranPersonalizationGrowthTitle","Suggested spiritual focus"
"quranPersonalizationHomeTitle","For you today"
"quranPersonalizationHubTitle","Recommended next"
"quranPersonalizationOpenAyahAction","Open ayah"
"quranPersonalizationOpenPathAction","Open path"
"quranReferenceDetailCategoryCharacterLesson","Character lesson"
"quranReferenceDetailCategoryDivineLife","Divine Life"
"quranReferenceDetailCategoryHadith","Hadith"
"quranReferenceDetailCategoryLearningJourney","Journey lesson"
"quranReferenceDetailCategoryLearningPath","Learning path"
"quranReferenceDetailCategoryProphet","Prophet reference"
"quranReferenceDetailCategoryQuranInsight","Qur’an insight"
"quranReferenceDetailCategoryQuranReference","Qur’an reference"
"quranReferenceDetailCategoryWorldLesson","Signs & creation"
"quranReferenceDetailCategoryWorshipLesson","Worship lesson"
"quranReferenceDetailCurrentAnchorChip","From {anchor}"
"quranReferenceDetailOpenCharacterLesson","Character companion"
"quranReferenceDetailOpenDestination","Open {destination}"
"quranReferenceDetailOpenDivineLifeLesson","Divine Life lesson"
"quranReferenceDetailOpenHadithLesson","Hadith lesson"
"quranReferenceDetailOpenLearningJourney","journey lesson"
"quranReferenceDetailOpenLearningPath","learning path"
"quranReferenceDetailOpenProphetStory","Prophet story"
"quranReferenceDetailOpenQuranInsight","Qur’an insight"
"quranReferenceDetailOpenWorldLesson","world lesson"
"quranReferenceDetailOpenWorshipLesson","worship lesson"
"quranReferenceDetailPreviewTitle","What you will open"
"quranReferenceDetailReasonCharacterLesson","This lesson carries the ayah into conduct, restraint, speech, or another lived character response."
"quranReferenceDetailReasonDivineLife","This Divine Life lesson broadens the ayah into a fuller everyday topic or practical life setting."
"quranReferenceDetailReasonHadith","This Hadith is surfaced because it reinforces a lesson already present in the current ayah."
"quranReferenceDetailReasonKnowledgeCharacter","This character lesson applies a value or behavior connected to this ayah."
"quranReferenceDetailReasonKnowledgeHadith","This hadith helps explain or reinforce a meaning carried in this ayah."
"quranReferenceDetailReasonKnowledgeJourney","This guided lesson revisits a connected Qur''anic idea through a structured learning path."
"quranReferenceDetailReasonKnowledgeLifeLesson","This life lesson applies the ayah through broader daily guidance."
"quranReferenceDetailReasonKnowledgeQuran","This is a direct Qur''anic connection to the same meaning or passage."
"quranReferenceDetailReasonKnowledgeReflection","This reflective insight helps the ayah open into contemplation, interpretation, or practical thought."
"quranReferenceDetailReasonKnowledgeSeerah","This Seerah context helps place the ayah in a prophetic or historical frame."
"quranReferenceDetailReasonKnowledgeSignsWorld","This signs lesson reflects on the created world in a way connected to this ayah."
"quranReferenceDetailReasonKnowledgeTheme","This theme highlights a recurring Qur''anic idea connected to this ayah."
"quranReferenceDetailReasonKnowledgeWorship","This worship lesson strengthens a devotional practice connected to this ayah."
"quranReferenceDetailReasonLearningJourney","This journey lesson studies the same Qur’anic passage in a guided sequence, so you can move from reading into a calmer lesson flow."
"quranReferenceDetailReasonLearningPath","This path gathers nearby ayahs and lessons so you can study the same theme in a calmer sequence."
"quranReferenceDetailReasonProphet","This prophetic reference helps frame the ayah through a lived example from revelation and sacred history."
"quranReferenceDetailReasonQuranInsight","This insight expands one of the clearest study directions already connected to the current ayah."
"quranReferenceDetailReasonQuranReferenceLinked","This Qur’an reference is surfaced because it strengthens the current ayah with a closely connected passage."
"quranReferenceDetailReasonWorldLesson","This lesson helps you reflect on signs, creation, or the natural world already tied to the current ayah."
"quranReferenceDetailReasonWorshipLesson","This lesson extends the ayah into worship, remembrance, or a practical act of devotion."
"quranReferenceDetailSourceOwnerTitle","Source owner"
"quranReferenceDetailWhyRelatedTitle","Why this is related"
"quranReferenceViewerNotFound","Reference not found."
