key,en_value,untranslated_locale_count,untranslated_locales
"learningJourneyFaithTawheedIntro","Tawheed means singling out Allah alone in worship, love, hope, fear, and reliance.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithTawheedReflection","Where in your life do you most need to renew your reliance on Allah alone?",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithTawheedSection1Body","A Muslim believes that Allah alone deserves prayer, trust, sacrifice, and ultimate obedience. Tawheed is not only a statement. It is a way of turning the heart fully to Allah.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithTawheedSection2Body","In daily life, tawheed means asking Allah before creation, seeking His help first, and guarding your worship from showing off or depending on what cannot truly save you.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahIntro","This lesson introduces the most important truth: Allah is the Creator, Sustainer, and only One worthy of worship.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahReflection","When you call upon Allah today, what does it mean to remember who He is?",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahSection1Body","Allah created everything, owns everything, and is perfect in every way. He is not like creation. He was not born, and He does not depend on anyone.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahSection2Body","Knowing Allah changes how you live. It brings trust in difficulty, gratitude in blessings, and sincerity in worship because your heart turns to Him first.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahTakeaway1","Allah is unique and unlike His creation.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahTakeaway2","All worship belongs to Allah alone.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahTakeaway3","Knowing Allah gives the heart direction and peace.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithWhoIsAllahTitle","Who is Allah?",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFatihahCompletionSection1Body","Al-Fatihah begins with praise, centers worship and dependence, and ends with guidance-seeking. It teaches a full relationship between the servant and Allah.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFatihahReadBullet3","Opening with Allah changes the tone of prayer.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyIslandArabicLearningDescription","Grow from letter recognition toward meaning, recitation, and confident repetition.",13,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyIslandArabicLearningSubtitle","Alphabet, reading, words, and tajweed basics.",13,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyIslandArabicLearningTitle","Arabic Learning",13,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyIslandWhyArabicLearning","Arabic learning becomes sustainable when it is broken into calmer stages with clear next steps.",13,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyTodayLightBadgeProphet","Prophet Daily",13,"bn,de,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyTodayLightBadgeTrivia","Trivia Daily",13,"bn,de,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyAlphabetOpenLessonIntro","The Arabic alphabet becomes easier when you stop seeing it as one large wall and begin meeting the letters in small memorable groups.",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyArabicAlphabetDescription","Learn the Arabic letters in calm groups, reinforce their sounds, and build a useful review habit before moving into reading.",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyArabicAlphabetOutcome1","Recognize the Arabic letters in manageable groups",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyArabicAlphabetOutcome2","Improve pronunciation through repetition",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyArabicAlphabetOutcome3","Build a review habit that prepares you for reading basics",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyArabicAlphabetSubtitle","Start with letters, sounds, and recognition.",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyArabicAlphabetTitle","Arabic Alphabet Journey",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyArabicAlphabetWhyThisMatters","Letter confidence is the first real threshold into Qur’anic Arabic and reading.",12,"bn,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyBeautifulCharacterDescription","Follow a guided journey through sincerity, patience, gratitude, humility, forgiveness, self-control, kindness, and final reflection.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyBeautifulCharacterOutcome1","Understand core qualities of beautiful Islamic character",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyBeautifulCharacterOutcome2","Connect character to worship, relationships, and daily choices",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyBeautifulCharacterOutcome3","Leave with one clear next step for personal growth",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyBeautifulCharacterSubtitle","Grow through the qualities that beautify faith and daily life.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyBeautifulCharacterTitle","Beautiful Character",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyBeautifulCharacterWhyThisMatters","Knowledge becomes lived Islam when it shapes character, speech, reactions, and service to others.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerActionStep","Choose one reset habit now: silence, changing posture, stepping away, or saying a short dhikr.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerBullet1","Do not answer every irritation immediately.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerBullet2","Use silence before regretful words.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerBullet3","Return to dhikr to cool the heart.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerIntro","Anger itself may come, but Islamic character teaches restraint before anger becomes words or harm.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerReflection","What usually happens just before your anger becomes speech?",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerSection1Body","Anger narrows judgment quickly. A single uncontrolled moment can damage worship, relationships, and trust built over years.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerSection1Title","Why anger needs discipline",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerSection2Title","How to respond well",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerStageSummary","Train yourself to pause, restrain anger, and respond with wisdom.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerStageTitle","Controlling anger",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerTakeaway1","Strength includes restraining yourself when angry.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerTakeaway2","Most anger mistakes happen in the first moments.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerTakeaway3","A calmer response protects dignity for everyone involved.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterAngerTitle","Controlling anger",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionActionStep","Write down one trait and one situation where you will consciously practice it this week.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionBullet1","Choose one trait, not seven.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionBullet2","Attach it to one daily situation.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionBullet3","Revisit related journeys for reinforcement.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionIntro","You have reached the end of this journey. Now the task is not more information. It is steady application.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionReflection","Which single character trait will you keep working on over the next week?",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionSection1Body","Which quality came easiest? Which one exposed your weakness? Honest reflection makes future growth real.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionSection1Title","Look back honestly",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionSection2Body","Do not try to perfect everything at once. Choose one quality that most needs attention in this season of life and keep returning to it.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionSection2Title","Choose one trait to carry",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionStageSummary","Gather what you learned and choose one character trait to keep practicing.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionStageTitle","Completion reflection",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionTakeaway1","Character grows by repetition, not intensity alone.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionTakeaway2","Reflection helps you see where to begin again.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionTakeaway3","The best completion is a small ongoing change.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterCompletionTitle","Completion reflection",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessActionStep","Make dua for heart-healing before you think about how to respond to an old hurt.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessBullet2","Keep justice and safety in view where needed.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessBullet3","Do not let resentment become your identity.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessIntro","Forgiveness softens the heart and frees it from carrying every injury forever.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessSection1Body","Forgiveness is not pretending harm was good. It is letting go of the desire to keep feeding resentment when forgiveness is wise and safe.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessSection1Title","What forgiveness is and is not",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,ps,tg,tr"
"learningJourneyCharacterForgivenessSection2Title","Why forgiveness matters",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessStageSummary","Learn when forgiveness heals the heart and restores dignity.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessStageTitle","Forgiveness",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessTakeaway2","A soft heart can still keep wise boundaries.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessTakeaway3","Resentment harms the one carrying it.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterForgivenessTitle","Forgiveness",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityActionStep","Listen carefully to one person today without preparing your answer while they speak.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityBullet1","Accept correction without defensiveness.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityBullet2","Do not measure people only by status or outward polish.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityReflection","Where does pride make it harder for you to listen or change?",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilitySection1Body","Humility does not mean weakness or self-erasure. It means accepting truth, lowering pride, and refusing to treat others with superiority.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilitySection1Title","Humility and truth",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilitySection2Body","Arrogance can hide inside knowledge, talent, worship, wealth, or social standing. Humility asks: do I still listen, learn, and respect others?",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilitySection2Title","How arrogance enters",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityStageSummary","Practice a humble heart while still standing firm on truth.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityStageTitle","Humility",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityTakeaway1","Humility protects knowledge from becoming pride.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityTakeaway2","A humble person can be firm without being arrogant.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterHumilityTitle","Humility",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasBullet1","Renew your intention before a good deed.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasBullet2","Do some good privately when possible.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasReflection","Which part of your worship or service needs a quieter intention?",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasSection1Title","What sincerity does",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasSection2Body","Ikhlas shows up when you keep doing good even if no one notices, and when you correct your intention whenever pride tries to enter.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasSection2Title","How sincerity appears in real life",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasStageTitle","Sincerity",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasTakeaway1","Sincerity begins in the heart before it appears in action.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasTakeaway2","Private worship helps protect sincerity.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasTakeaway3","Ikhlas needs regular renewal, not a one-time decision.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterIkhlasTitle","Sincerity (Ikhlas)",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterKindnessActionStep","Do one small act of gentleness today for someone who usually sees you in a rushed state.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterKindnessBullet1","Make your speech softer without becoming unclear.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterKindnessBullet2","Look for one hidden need you can ease today.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
"learningJourneyCharacterKindnessBullet3","Treat family and those closest to you with extra care.",12,"bn,fa,fa_AF,ha,hi,id,ku,ms,pa,ps,tg,tr"
