key,en_value
"quranLearningPathStepReflectionReadTitle","Read the ayah of hope"
"quranLearningPathStepReflectionReviewSubtitle","Pause with your saved reflection lane before moving into a broader companion surface."
"quranLearningPathStepReflectionReviewTitle","Revisit saved reflections"
"quranLearningPathStepReflectionWisdomSubtitle","Take one lighter practical next step through the Daily Wisdom companion."
"quranLearningPathStepReflectionWisdomTitle","Open Daily Wisdom"
"quranLearningPathStepSurahCharacterSubtitle","Finish with a character handoff that applies the surah''s family and wisdom lessons."
"quranLearningPathStepSurahCharacterTitle","Open family character guidance"
"quranLearningPathStepSurahInsightsSubtitle","Start with the surah-level study hub so themes and significance come first."
"quranLearningPathStepSurahInsightsTitle","Open Surah Luqman insights"
"quranLearningPathStepSurahReaderSubtitle","Continue in the reader with study mode and the family theme already emphasized."
"quranLearningPathStepSurahReaderTitle","Read in study mode"
"quranLearningPathStepThemeCharacterSubtitle","Move into the Character companion for one practical expression of gratitude in daily life."
"quranLearningPathStepThemeCharacterTitle","Open character guidance"
"quranLearningPathStepThemeMapSubtitle","Begin from the thematic map so the study focus is clear before opening the reader."
"quranLearningPathStepThemeMapTitle","Explore the gratitude theme"
"quranLearningPathStepThemeReadSubtitle","Open a representative ayah in theme mode so gratitude stays visible while you read."
"quranLearningPathStepThemeReadTitle","Read Surah Ar-Rahman"
"quranLearningPathSurahStudyDescription","Begin with Surah Luqman insights, continue in study mode in the reader, and finish with a related character handoff."
"quranLearningPathSurahStudySubtitle","Study one high-value surah with themes and connected learning."
"quranLearningPathSurahStudyTitle","Surah Study Path"
"quranLearningPathThemeDescription","Use the thematic map, a focused reading in Surah Ar-Rahman, and a character handoff so gratitude becomes a connected study experience."
"quranLearningPathThemeSubtitle","Follow gratitude across theme, ayah, and character."
"quranLearningPathThemeTitle","Theme Study: Gratitude"
"quranLearningPathTypeBeginner","Beginner"
"quranLearningPathTypeMemorization","Memorization"
"quranLearningPathTypeReflection","Reflection"
"quranLearningPathTypeSurah","Surah study"
"quranLearningPathTypeTheme","Thematic"
"quranLearningPathsBrowseAllAction","Browse all pathways"
"quranLearningPathsContinueStepLabel","Resume here"
"quranLearningPathsContinueSubtitle","Pick up {pathTitle} with {stepTitle}."
"quranLearningPathsContinueTitle","Continue your pathway"
"quranLearningPathsHubSubtitle","Follow guided journeys through themes, stories, reflection, and meaningful verses."
"quranLearningPathsOpenContinueAction","Resume pathway"
"quranLearningPathsOpenStepAction","Open stop"
"quranLearningPathsStepCountLabel","{count} stops"
"quranLearningPathsStepsTitle","Pathway stops"
"quranLearningPathsSubtitle","Follow calm guided journeys through surahs, themes, reflection, and meaningful verses."
"quranLearningPathsTitle","Qur''an Pathways"
"quranPathwayCategoryCharacterAdab","Character and Adab"
"quranPathwayCategoryFoundations","Foundations"
"quranPathwayCategoryHereafter","Hereafter"
"quranPathwayCategoryProphetStories","Stories and Prophets"
"quranPathwayCategoryReflection","Reflection"
"quranPathwayCategorySignsCreation","Signs and Creation"
"quranPathwayCategorySpiritualSupport","Spiritual Support"
"quranPathwayCharacterDescription","This pathway gathers strong Qur''anic anchors for manners, social conduct, fairness, and guarding the tongue."
"quranPathwayCharacterStepCommunitySubtitle","See how the Qur''an builds trust and reconciliation."
"quranPathwayCharacterStepCommunityTitle","Explore the community theme"
"quranPathwayCharacterStepHujuratSubtitle","Read a surah of speech, manners, and life with others."
"quranPathwayCharacterStepHujuratTitle","Study Surah Al-Hujurat"
"quranPathwayCharacterStepReaderSubtitle","Open a passage that makes adab practical and immediate."
"quranPathwayCharacterStepReaderTitle","Read verses on brotherhood and guarding the tongue"
"quranPathwayCharacterStepReflectPrompt","Which part of my speech or assumptions needs more taqwa, care, and fairness?"
"quranPathwayCharacterStepReflectSubtitle","Let fairness and restraint become a personal question."
"quranPathwayCharacterStepReflectTitle","End with a character reflection"
"quranPathwayCharacterSubtitle","Follow speech, manners, fairness, and life with others."
"quranPathwayCharacterTitle","Character and Adab"
"quranPathwayCreationDescription","A reflective pathway that slows the heart down around creation, remembrance, and the ordinary signs that point back to Allah."
"quranPathwayCreationStepImranSubtitle","Open a passage that joins reflection to remembrance."
"quranPathwayCreationStepImranTitle","Read the signs in the heavens and the earth"
"quranPathwayCreationStepMulkSubtitle","Look at order, design, and humility before divine power."
"quranPathwayCreationStepMulkTitle","Study Surah Al-Mulk"
"quranPathwayCreationStepReflectPrompt","Which signs of Allah in creation am I rushing past instead of noticing with gratitude?"
"quranPathwayCreationStepReflectSubtitle","Notice how ordinary life itself points back to Allah."
"quranPathwayCreationStepReflectTitle","End with a creation reflection"
"quranPathwayCreationStepThemeSubtitle","Begin with the Qur''an''s invitation to look outward and inward."
"quranPathwayCreationStepThemeTitle","Open the signs of creation theme"
"quranPathwayCreationSubtitle","Reflect on the heavens, earth, life, and the self as signs of Allah."
"quranPathwayCreationTitle","Signs of Creation"
"quranPathwayDuaDescription","A gentle pathway through supplication and tawakkul so calling upon Allah and relying on Him feel more rooted in Qur''anic guidance."
"quranPathwayDuaStepBaqarahSubtitle","Open the ayah that reassures the caller that Allah is near."
"quranPathwayDuaStepBaqarahTitle","Read the verse of nearness"
"quranPathwayDuaStepReliancePrompt","How can I combine sincere du''a with wise effort and tawakkul today?"
