key,en_value
"learningJourneyFatihahRecitationIntro","The middle of Al-Fatihah joins Allah’s mercy, the reality of judgment, and the believer’s promise to worship and seek help only from Him."
"learningJourneyFatihahRecitationSection1Body","Allah is the Most Merciful and the One who owns the Day of Judgment. Then the servant responds: You alone we worship, and You alone we ask for help."
"learningJourneyFatihahReflectionBullet2","The straight path requires help from Allah."
"learningJourneyFatihahReflectionSection2Body","Every time you recite these verses in salah, you are making a direct request to Allah for direction, clarity, and protection."
"learningJourneyFiqhBasicsWhyThisMatters","Practical knowledge helps worship stay steady and keeps daily life grounded in what Allah loves."
"learningJourneyFiqhCleanlinessSection1Body","Cleanliness in Islam is both physical and spiritual. Keeping the body, clothes, and prayer place clean supports worship and reflects respect for Allah''s commands."
"learningJourneyFiqhCompletionSection1Body","Fiqh is not meant to create fear or arguments. It is meant to help you worship Allah correctly, avoid confusion, and live with more confidence and discipline."
"learningJourneyFiqhHalalIntro","Fiqh begins with learning how to obey Allah in a practical way. One of the first ideas is understanding what is halal, haram, and doubtful."
"learningJourneyFiqhHalalSection1Body","Halal means what Allah has allowed. Haram means what He has forbidden. Between them are matters that may feel unclear to ordinary people and require caution, learning, or asking someone qualified."
"learningJourneyFiqhZakatSection1Body","Zakat is not only a financial rule. It is an act of worship, gratitude, and social responsibility. It reminds Muslims that wealth is a trust from Allah."
"learningJourneyFiqhZakatTakeaway2","Wealth is a trust from Allah."
"learningJourneyIslamCompletionSection1Body","You now have a simple map: know Allah, understand the pillars, and build your practice through prayer, Qur''an, duas, and character."
"learningJourneyIslamFoundationsDescription","Start with the meaning of Islam, who Allah is, the five pillars, and the first steady steps of Muslim life."
"learningJourneyIslamWhatIsIslamIntro","Islam is not only information. It is a relationship of surrender, trust, and worship directed to Allah alone."
"learningJourneyIslamWhatIsIslamReflection","What changes when you see Islam as a lived relationship with Allah rather than a list of facts?"
"learningJourneyIslamWhatIsIslamSection1Body","The word Islam carries the meaning of surrendering yourself to Allah in peace. A Muslim turns to Allah with belief, worship, obedience, and hope for mercy."
"learningJourneyIslamWhatIsIslamTakeaway1","Islam begins with surrender to Allah."
"learningJourneyIslamWhoIsAllahIntro","Knowing Allah is the center of belief. The heart becomes steady when it knows who created it and who it is returning to."
"learningJourneyIslamWhoIsAllahReflection","Which name or quality of Allah helps your heart feel closest to Him right now?"
"learningJourneyIslamWhoIsAllahSection1Body","Allah is the Creator, the Provider, the Lord of all worlds, and the One worthy of worship. He is not like creation, and nothing compares to Him."
"learningJourneyIslamWhoIsAllahSection2Body","When you know Allah through His perfection, mercy, and lordship, worship begins to feel rooted. Salah becomes conversation, trust, and return."
"learningJourneyIslamWhoIsAllahTakeaway1","Allah alone created and sustains everything."
"learningJourneyIslamWhoIsAllahTakeaway2","Nothing is equal to Allah."
"learningJourneyIslamWhoIsAllahTakeaway3","Knowing Allah deepens worship and trust."
"learningJourneyIslandCoreKnowledgeAyahTranslation","“Allah — there is no deity except Him.”"
"learningJourneyIslandCoreKnowledgeAyahTransliteration","Allāhu lā ilāha illā Huwa"
"learningJourneyIslandCoreKnowledgeDescriptionKids","Learn about Allah and start building your understanding of Islam step by step."
"learningJourneyQuranOpenIntro","The Qur’an is not only a text to browse. It is guidance, recitation, remembrance, and a daily return to Allah."
"learningJourneyRamadanLaylatReflection","What kind of worship helps your heart feel closest to Allah in the quiet hours?"
"learningJourneyRamadanLaylatSection2Body","Seek the night through prayer, Qur’an, dua, repentance, and quiet sincerity. Keep the focus on Allah more than on chasing signs."
"learningJourneyRamadanSpiritualGoalsSection2Body","A goal should help you turn to Allah more steadily. If it only increases stress or comparison, make it smaller and clearer."
"learningJourneyRamadanSpiritualGoalsTakeaway3","Good goals move the heart back to Allah."
"learningJourneyRamadanWhatIsTakeaway2","The month is honored because Allah honored it."
"learningJourneyRamadanWhyFastLessonIntro","Fasting trains taqwa by teaching the believer to leave what is normally permitted for the sake of Allah."
"learningJourneyRamadanWhyFastSection1Body","Fasting teaches restraint, gratitude, dependence on Allah, and awareness that worship is not only visible action but also hidden discipline."
"learningJourneySalahMovementsLessonIntro","The movements of salah are not empty motions. Each posture carries meaning: standing, bowing, prostrating, and sitting before Allah."
"learningJourneySalahWhyBullet1","Salah reconnects the day to Allah."
"learningJourneySalahWhyLessonIntro","Salah is not only a duty on a list. It is the daily act that reorders the heart, brings the servant back to Allah, and gives the day structure."
"learningJourneySalahWhySection1Body","Salah gathers remembrance, humility, recitation, gratitude, and need before Allah. It keeps the day from becoming fully controlled by distraction or impulse."
"learningJourneySalahWhySection2Body","Start by seeing salah as a return, not a performance. Each prayer is another chance to stand before Allah with honesty, even after weak days."
"learningJourneyShortSurahFalaqIntro","Surah Al-Falaq teaches the believer to seek refuge in Allah from outer harms and unseen dangers."
"learningJourneyShortSurahFalaqReflection","When you feel vulnerable, do you remember refuge in Allah as quickly as you remember other protections?"
"learningJourneyShortSurahFalaqTakeaway1","Protection begins with refuge in Allah."
"learningJourneyShortSurahFalaqThemes","Its key theme is turning to Allah for protection from harm, darkness, envy, and evil that lies beyond human control."
"learningJourneyShortSurahIkhlasContext","This surah was revealed as a direct clarification of who Allah is: One, absolutely needed by all, and unlike creation."
"learningJourneyShortSurahIkhlasIntro","Surah Al-Ikhlas is short in length but immense in meaning because it teaches pure tawheed and Allah’s absolute uniqueness."
"learningJourneyShortSurahIkhlasReflection","How would your worship change if Allah’s uniqueness felt more present in your heart?"
"learningJourneyShortSurahIkhlasTakeaway1","This surah centers pure belief in Allah’s oneness."
"learningJourneyShortSurahIkhlasTakeaway2","It clears away wrong ideas about Allah."
"learningJourneyShortSurahIkhlasThemes","Its key theme is pure monotheism. It teaches that Allah is unique, self-sufficient, and beyond human comparison, lineage, or dependence."
"learningJourneyShortSurahKafirunContext","It was revealed in a context where compromise in worship was proposed, and the surah answered with clear loyalty to Allah alone."
"learningJourneyShortSurahKafirunTakeaway2","Ibadah belongs to Allah alone."
"learningJourneyShortSurahKawtharContext","It came as consolation and honor for the Prophet ﷺ, teaching that Allah’s gifts are greater than the insults of people."
"learningJourneyShortSurahKawtharIntro","Surah Al-Kawthar is a short surah of abundance, gratitude, and worship in response to Allah’s gifts."
"learningJourneyShortSurahKawtharReflection","How do you usually respond when Allah gives you a blessing: gratitude, distraction, or delay?"
"learningJourneyShortSurahKawtharTakeaway1","Allah’s gifts are greater than people’s insults."
"learningJourneyShortSurahKawtharThemes","Its key theme is abundance from Allah and the right response to that abundance: prayer, gratitude, and sacrifice."
"learningJourneyShortSurahNasIntro","Surah An-Nas teaches refuge in Allah from the whispers that enter the heart and try to disturb faith, peace, and clarity."
"learningJourneyShortSurahNasReflection","What kind of whispering pulls your attention away from Allah most often?"
"learningJourneyShortSurahNasTakeaway2","Allah alone can protect you from hidden whispering."
"learningJourneyStageFatihahReadSummary","Begin with the opening praise of Allah and what it means to call Him the Lord of all worlds."
"learningJourneyStageFatihahReflectionSummary","Reflect on what it means to ask Allah for guidance every day inside salah."
"learningJourneyStageIslamWhatIsIslamSummary","Begin with the meaning of Islam as surrender to Allah, worship, and a complete way of life."
"learningJourneyStageIslamWhoIsAllahSummary","Learn the first clear foundations of knowing Allah as Creator, Lord, and the One worthy of worship."
